X,Y,Group
0.038,0.641,C2
0.085,0.239,C2
0.001,0.286,C2
0.172,0.076,C2
0.449,0.863,C2
0.493,0.749,C2
0.412,0.416,C2
0.264,0.421,C2
0.487,0.615,C2
0.394,0.514,C2
0.004,0.04,C2
0.019,0.428,C2
0.285,0.43,C2
0.415,0.765,C2
0.363,0.569,C2
0.332,0.577,C2
0.322,0.505,C2
0.419,0.402,C2
0.013,0.382,C2
0.109,0.199,C2
0.65,0.843,C2
0.226,0.31,C2
0.299,0.335,C2
0.902,0.854,C2
0.646,0.551,C2
0.139,0.349,C2
0.424,0.731,C2
0.487,0.404,C2
0.153,0.13,C2
0.543,0.813,C2
0.631,0.893,C2
0.415,0.933,C2
0.724,0.82,C2
0.234,0.915,C2
0.522,0.898,C2
0.362,0.663,C2
0.147,0.298,C2
0.267,0.7,C2
0.349,0.369,C2
0.128,0.52,C2
0.212,0.643,C2
0.014,0.206,C2
0.36,0.732,C2
0.518,0.953,C2
0.281,0.994,C2
0.164,0.38,C2
0.851,0.957,C2
0.423,0.584,C2
0.128,0.639,C2
0.172,0.838,C2
0.151,0.336,C2
0.028,0.135,C2
0.587,0.733,C2
0.045,0.274,C2
0.945,0.977,C2
0.449,0.372,C2
0.156,0.118,C2
0.763,0.783,C2
0.203,0.823,C2
0.063,0.888,C2
0.957,0.96,C2
0.473,0.765,C2
0.522,0.967,C2
0.024,0.149,C2
0.274,0.626,C2
0.051,0.823,C2
0.368,0.471,C2
0.5,0.447,C2
0.057,0.459,C2
0.191,0.399,C2
0.195,0.878,C2
0.064,0.718,C2
0.815,0.984,C2
0.469,0.918,C2
0.044,0.494,C2
0.212,0.895,C2
0.069,0.849,C2
0.101,0.141,C2
0.284,0.62,C2
0.451,0.855,C2
0.376,0.558,C2
0.06,0.174,C2
0.379,0.354,C2
0.262,0.805,C2
0.106,0.723,C2
0.001,0.96,C2
0.396,0.918,C2
0.331,0.425,C2
0.525,0.505,C2
0.383,0.783,C2
0.367,0.734,C2
0.019,0.46,C2
0.146,0.503,C2
0.55,0.958,C2
0.037,0.678,C2
0.539,0.881,C2
0.458,0.415,C2
0.818,0.804,C2
0.881,0.885,C2
0.049,0.987,C2
0.202,0.592,C2
0.052,0.905,C2
0.19,0.627,C2
0.124,0.676,C2
0.24,0.431,C2
0.123,0.408,C2
0.031,0.831,C2
0.494,0.604,C2
0.211,0.47,C2
0.08,0.402,C2
0.069,0.553,C2
0.282,0.927,C2
0.735,0.949,C2
0.28,0.503,C2
0.193,0.226,C2
0.092,0.862,C2
0.071,0.705,C2
0.254,0.49,C2
0.259,0.947,C2
0.149,0.558,C2
0.065,0.498,C2
0.665,0.908,C2
0.231,0.687,C2
0.755,0.979,C2
0.413,0.405,C2
0.482,0.952,C2
0.026,0.095,C2
0.885,0.993,C2
