X,Y,Group
0.01,0.323,C2
0.903,0.959,C2
0.006,0.817,C2
0.109,0.533,C2
0.551,0.592,C2
0.311,0.644,C2
0.153,0.099,C2
0.202,0.833,C2
0.272,0.713,C2
0.607,0.899,C2
0.05,0.479,C2
0.111,0.251,C2
0.276,0.25,C2
0.711,0.841,C2
0.427,0.821,C2
0.346,0.932,C2
0.515,0.476,C2
0.599,0.609,C2
0.526,0.774,C2
0.203,0.331,C2
0.402,0.972,C2
0.37,0.676,C2
0.303,0.277,C2
0.137,0.914,C2
0.906,0.853,C2
0.13,0.213,C2
0.569,0.976,C2
0.026,0.97,C2
0.136,0.763,C2
0.543,0.498,C2
0.735,0.978,C2
0.795,0.859,C2
0.088,0.893,C2
0.073,0.683,C2
0.137,0.285,C2
0.255,0.654,C2
0.1,0.99,C2
0.204,0.792,C2
0.366,0.312,C2
0.846,0.817,C2
0.237,0.221,C2
0.614,0.545,C2
0.108,0.167,C2
0.458,0.823,C2
0.255,0.898,C2
0.022,0.967,C2
0.034,0.865,C2
0.161,0.369,C2
0.266,0.633,C2
0.004,0.997,C2
0.357,0.359,C2
0.046,0.785,C2
0.384,0.746,C2
0.312,0.221,C2
0.491,0.434,C2
0.012,0.257,C2
0.153,0.697,C2
0.513,0.653,C2
0.634,0.707,C2
0.425,0.964,C2
0.36,0.303,C2
0.438,0.812,C2
0.17,0.628,C2
0.715,0.631,C2
0.128,0.82,C2
0.015,0.642,C2
0.145,0.149,C2
0.302,0.794,C2
0.457,0.887,C2
0.384,0.651,C2
0.249,0.593,C2
0.422,0.884,C2
0.292,0.876,C2
0.291,0.591,C2
0.056,0.005,C2
0.536,0.741,C2
0.118,0.87,C2
0.025,0.639,C2
0.005,0.125,C2
0.131,0.255,C2
0.025,0.821,C2
0.092,0.804,C2
0.466,0.942,C2
0.197,0.876,C2
0.503,0.528,C2
0.244,0.609,C2
0.489,0.47,C2
0.649,0.557,C2
0.159,0.73,C2
0.027,0.316,C2
0.437,0.989,C2
0.233,0.985,C2
0.299,0.393,C2
0.159,0.609,C2
0.283,0.392,C2
0.149,0.437,C2
0.179,0.229,C2
0.656,0.838,C2
0.36,0.897,C2
0.493,0.616,C2
0.614,0.765,C2
0.038,0.047,C2
0.824,0.851,C2
0.374,0.582,C2
0.155,0.989,C2
0.019,0.609,C2
0.612,0.893,C2
0.464,0.794,C2
0.355,0.504,C2
0.667,0.939,C2
0.076,0.654,C2
0.883,0.888,C2
0.188,0.892,C2
0.215,0.178,C2
0.587,0.695,C2
0.061,0.113,C2
0.235,0.797,C2
0.332,0.645,C2
0.678,0.829,C2
0.435,0.771,C2
0.377,0.944,C2
0.461,0.467,C2
0.802,0.94,C2
0.663,0.785,C2
0.466,0.875,C2
0.053,0.394,C2
0.075,0.969,C2
0.233,0.277,C2
0.231,0.722,C2
0.062,0.356,C2
0.27,0.218,C2
0.078,0.687,C2
0.951,0.96,C2
0.315,0.944,C2
0.948,0.885,C2
0.086,0.075,C2
0.397,0.99,C2
0.722,0.854,C2
0.018,0.166,C2
0.283,0.817,C2
0.161,0.642,C2
0.183,0.785,C2
0.172,0.67,C2
0.59,0.935,C2
0.312,0.391,C2
0.204,0.877,C2
0.336,0.286,C2
0.116,0.851,C2
0.581,0.559,C2
0.77,0.864,C2
0.174,0.599,C2
0.126,0.68,C2
0.099,0.656,C2
0.465,0.522,C2
0.621,0.723,C2
0.264,0.746,C2
0.639,0.614,C2
0.108,0.465,C2
0.3,0.539,C2
0.798,0.996,C2
0.574,0.578,C2
0.387,0.323,C2
0.339,0.482,C2
0.448,0.936,C2
0.205,0.675,C2
0.657,0.742,C2
0.516,0.953,C2
0.149,0.49,C2
0.435,0.762,C2
0.042,0.26,C2
0.498,0.875,C2
0.74,0.852,C2
0.754,0.843,C2
0.063,0.947,C2
0.442,0.653,C2
0.501,0.488,C2
0.27,0.188,C2
0.599,0.713,C2
0.214,0.67,C2
0.146,0.784,C2
0.116,0.936,C2
0.575,0.845,C2
0.798,0.716,C2
0.4,0.666,C2
0.412,0.886,C2
0.838,0.99,C2
0.119,0.615,C2
0.038,0.881,C2
0.21,0.494,C2
0.346,0.706,C2
0.19,0.874,C2
0.026,0.363,C2
0.864,0.946,C2
0.326,0.547,C2
0.138,0.513,C2
0.478,0.948,C2
0.289,0.999,C2
0.7,0.819,C2
0.066,0.377,C2
0.907,0.816,C2
0.396,0.314,C2
0.466,0.717,C2
0.725,0.78,C2
0.583,0.861,C2
0.48,0.762,C2
0.163,0.922,C2
0.596,0.51,C2
0.762,0.995,C2
0.112,0.447,C2
0.515,0.704,C2
0.814,0.937,C2
0.153,0.449,C2
0.048,0.601,C2
0.191,0.753,C2
0.419,0.809,C2
0.582,0.952,C2
0.831,0.852,C2
0.014,0.127,C2
