X,Y,Group
0.585,0.894,C2
0.434,0.401,C2
0.426,0.448,C2
0.597,0.936,C2
0.452,0.683,C2
0.422,0.884,C2
0.636,0.717,C2
0.223,0.496,C2
0.42,0.427,C2
0.42,0.992,C2
0.021,0.889,C3
0.38,0.346,C2
0.422,0.706,C2
0.191,0.909,C2
0.705,0.676,C2
0.014,0.639,C2
0.145,0.149,C2
0.433,0.601,C2
0.999,0.987,C2
0.014,0.458,C2
0.045,0.222,C2
0.434,0.616,C2
0.644,0.654,C2
0.22,0.472,C2
0.05,0.153,C2
0.795,0.859,C2
0.903,0.959,C2
0.414,0.613,C2
0.664,0.728,C2
0.37,0.638,C2
0.374,0.966,C2
0.232,0.368,C2
0.36,0.303,C2
0.476,0.846,C2
0.048,0.242,C2
0.008,0.981,C3
0.331,0.595,C2
0.553,0.836,C2
0.666,0.768,C2
0.277,0.332,C2
0.053,0.645,C2
0.426,0.959,C2
0.61,0.596,C2
0.109,0.846,C3
0.465,0.779,C2
0.088,0.846,C2
0.175,0.435,C2
0.396,0.67,C2
0.39,0.618,C2
0.079,0.258,C2
0.683,0.949,C2
0.285,0.583,C2
0.39,0.861,C2
0.542,0.784,C2
0.373,0.775,C2
0.312,0.597,C2
0.817,0.796,C2
0.221,0.689,C2
0.501,0.481,C2
0.167,0.466,C2
0.12,0.618,C2
0.066,0.038,C2
0.094,0.603,C2
0.056,0.005,C2
0.277,0.995,C2
0.027,0.406,C2
0.014,0.943,C2
0.359,0.87,C2
0.025,0.54,C2
0.746,0.882,C2
0.03,0.038,C2
0.434,0.881,C2
0.257,0.722,C2
0.498,0.77,C2
0.653,0.864,C2
0.084,0.501,C2
0.18,0.926,C2
0.104,0.208,C2
0.228,0.902,C2
0.427,0.821,C2
0.631,0.66,C2
0.391,0.315,C2
0.432,0.944,C2
0.349,0.779,C2
0.126,0.68,C2
0.37,0.698,C2
0.266,0.633,C2
0.593,0.776,C2
0.328,0.485,C2
0.076,0.015,C2
0.591,0.642,C2
0.178,0.235,C2
0.741,0.747,C2
0.294,0.296,C2
0.639,0.906,C2
0.125,0.853,C3
0.255,0.462,C2
0.27,0.218,C2
0.397,0.99,C2
0.046,0.58,C2
0.876,0.994,C2
0.128,0.335,C2
0.609,0.667,C2
0.47,0.939,C2
0.557,0.575,C2
0.73,0.692,C2
0.204,0.877,C3
0.027,0.31,C2
0.156,0.91,C2
0.326,0.965,C2
0.578,0.59,C2
0.345,0.886,C2
0.437,0.496,C2
0.229,0.673,C2
0.006,0.283,C2
0.024,0.817,C3
0.059,0.246,C2
0.199,0.435,C2
0.24,0.896,C3
0.851,0.936,C2
0.264,0.746,C2
0.187,0.137,C2
0.609,0.914,C2
0.425,0.964,C2
0.794,0.853,C2
0.015,0.743,C2
0.423,0.359,C2
0.686,0.591,C2
0.329,0.236,C2
0.01,0.323,C2
0.178,0.199,C2
0.258,0.392,C2
0.113,0.324,C2
0.194,0.711,C2
0.11,0.541,C2
0.829,0.991,C2
0.073,0.099,C2
0.717,0.788,C2
0.467,0.978,C2
0.282,0.73,C2
0.118,0.663,C2
0.875,0.825,C2
0.051,0.992,C3
0.1,0.536,C2
0.277,0.444,C2
0.268,0.532,C2
0.135,0.656,C2
0.383,0.872,C2
0.032,0.562,C2
0.521,0.551,C2
0.121,0.592,C2
0.267,0.599,C2
0.075,0.639,C2
0.197,0.606,C2
0.224,0.916,C3
0.037,0.565,C2
0.275,0.587,C2
0.642,0.629,C2
0.424,0.781,C2
0.774,0.877,C2
0.619,0.857,C2
0.391,0.687,C2
0.424,0.83,C2
0.169,0.621,C2
0.612,0.784,C2
0.559,0.486,C2
0.04,0.989,C3
0.907,0.816,C2
0.206,0.562,C2
0.128,0.913,C3
0.522,0.519,C2
0.165,0.379,C2
0.618,0.538,C2
0.285,0.961,C2
0.224,0.528,C2
0.163,0.922,C3
0.466,0.717,C2
0.515,0.704,C2
0.049,0.153,C2
0.035,0.161,C2
0.526,0.469,C2
0.597,0.806,C2
0.348,0.58,C2
0.21,0.545,C2
0.49,0.522,C2
0.083,0.289,C2
0.14,0.562,C2
